trait_category	trait	category	cell_type_clean	mark	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z.score	Coefficient_p	Coefficient_q
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25-_IL17-_PMA_Ionomycin_stim_MACS_Th_sprimary	H3K4me1	0.051396453	0.16687889	0.021867072	3.246895048	0.425458777	1.48E-07	-4.45E-09	3.10E-08	-0.143599383	0.557091586	0.934019061
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25int_CD127+_Tmem_primary	H3K4me1	0.015544583	0.047777073	0.012671335	3.073551174	0.815160779	0.011436868	-9.50E-08	6.06E-08	-1.567518649	0.941503245	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25-_Th_primary	H3K4me1	0.042247368	0.144403476	0.020657531	3.41804669	0.488966117	9.63E-07	-1.79E-08	3.53E-08	-0.50812328	0.694316555	0.982774391
Anthropometric	Height	Immune or hematopoietic	CD4_memory_primary	H3K4me1	0.040428455	0.114465278	0.019604208	2.831304778	0.484911143	0.000140171	-4.14E-08	3.78E-08	-1.095544879	0.863361002	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD4_naive_primary	H3K4me1	0.031872532	0.090194815	0.017099817	2.829860362	0.536506388	0.000657312	-4.74E-08	3.91E-08	-1.212973013	0.887429931	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD8_memory_primary	H3K4me1	0.031277416	0.08609027	0.016674837	2.752473872	0.533127062	0.001004244	-5.40E-08	3.90E-08	-1.383331717	0.916718411	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD8_naive_primary_(BI)	H3K4me1	0.031298372	0.094445633	0.017315506	3.017589313	0.553239839	0.00029899	-3.82E-08	4.03E-08	-0.946627488	0.828085684	0.999998953
Anthropometric	Height	Gastrointestinal	Colonic_mucosa	H3K4me1	0.021198806	0.110422832	0.02410922	5.208917506	1.137291397	0.000256551	4.44E-08	8.52E-08	0.520559122	0.301336966	0.773668905
Anthropometric	Height	Gastrointestinal	Colon_smooth_muscle	H3K4me1	0.034585806	0.191256895	0.025557198	5.529924529	0.73895048	2.46E-09	1.39E-07	5.02E-08	2.764885338	0.00284714	0.091538602
Anthropometric	Height	Gastrointestinal	Duodenum_Mucosa	H3K4me1	0.047456008	0.147418643	0.029121157	3.106427373	0.613645313	0.000619311	-7.09E-08	4.89E-08	-1.450364126	0.926521497	0.999998953
Anthropometric	Height	Gastrointestinal	Duodenum_smooth_muscle	H3K4me1	0.005867868	0.054277663	0.016427378	9.249980819	2.799548256	0.003406612	2.94E-07	1.88E-07	1.559702643	0.059415084	0.408192048
Anthropometric	Height	CNS	Fetal_brain	H3K4me1	0.032899555	0.075612186	0.015100122	2.298273793	0.458976484	0.00481006	-6.36E-08	3.84E-08	-1.655402152	0.951078525	0.999998953
Anthropometric	Height	Cardiovascular	Fetal_heart	H3K4me1	0.040829639	0.151408228	0.024031701	3.708292124	0.5885847	5.78E-06	1.40E-08	4.01E-08	0.350023655	0.363160473	0.826190061
Anthropometric	Height	Cardiovascular	Fetal_lung	H3K4me1	0.068872366	0.359724783	0.034000184	5.223064084	0.493669457	3.40E-15	1.87E-07	3.76E-08	4.966997717	3.40E-07	0.000350365
Anthropometric	Height	Immune or hematopoietic	Mobilized_CD34_primary	H3K4me1	0.068132689	0.276684374	0.034252694	4.060963637	0.502735091	2.57E-09	7.52E-08	4.36E-08	1.725822097	0.042189712	0.348114013
Anthropometric	Height	Adrenal or pancreas	Pancreatic_islets	H3K4me1	0.008301964	0.02151154	0.012683117	2.591138561	1.527724794	0.294830367	-3.68E-08	9.82E-08	-0.374388759	0.645942447	0.969879778
Anthropometric	Height	Gastrointestinal	Rectal_mucosa	H3K4me1	0.034339128	0.133585432	0.025773193	3.890181215	0.750548851	0.00012924	-2.85E-08	5.62E-08	-0.506782196	0.693846175	0.982774391
Anthropometric	Height	Gastrointestinal	Rectal_smooth_muscle	H3K4me1	0.009125821	0.064250037	0.016883539	7.04046673	1.85008444	0.001241753	1.79E-07	1.20E-07	1.492619425	0.067768418	0.432875663
Anthropometric	Height	Skeletal muscle	Skeletal_muscle	H3K4me1	0.065479975	0.323395195	0.030678723	4.938841157	0.468520691	3.37E-15	1.12E-07	3.86E-08	2.899874768	0.001866559	0.073387998
Anthropometric	Height	Gastrointestinal	Stomach_mucosa	H3K4me1	0.033022095	0.119801925	0.026780992	3.627932321	0.811002227	0.001354838	-2.43E-08	5.88E-08	-0.413358345	0.660327956	0.974243992
Anthropometric	Height	Gastrointestinal	Stomach_smooth_muscle	H3K4me1	0.023485323	0.144836167	0.021668947	6.167092931	0.922659108	5.74E-08	1.32E-07	6.62E-08	1.997918406	0.022862753	0.262091752
Anthropometric	Height	Liver	Liver_(UCSD)	H3K4me1	0.001402278	0.007136335	0.009258785	5.089099622	6.602672411	0.536089525	3.97E-08	4.26E-07	0.093121269	0.46290361	0.888120708
Anthropometric	Height	Gastrointestinal	Esophagus	H3K4me1	0.005715315	0.024953262	0.014824259	4.366034679	2.59377826	0.19368979	-4.11E-08	1.75E-07	-0.234952197	0.592877082	0.951245838
Anthropometric	Height	Gastrointestinal	Gastric	H3K4me1	0.013477928	0.05763597	0.019407315	4.276322849	1.439933174	0.024028203	-2.91E-08	1.02E-07	-0.28427289	0.61189937	0.958827835
Anthropometric	Height	Cardiovascular	Left_Ventricle	H3K4me1	0.02594002	0.126269284	0.024487808	4.867740357	0.944016523	5.44E-05	7.67E-08	6.58E-08	1.164771038	0.122055843	0.555993775
Anthropometric	Height	Cardiovascular	Lung	H3K4me1	0.017102256	0.123750547	0.026073876	7.235919343	1.524586911	5.41E-05	2.32E-07	1.06E-07	2.178268526	0.014693025	0.212316929
Anthropometric	Height	Other	Ovary	H3K4me1	0.008591087	0.105558666	0.019575056	12.28699817	2.278530882	1.58E-06	5.89E-07	1.48E-07	3.99161757	3.28E-05	0.005746249
Anthropometric	Height	Adrenal or pancreas	Pancreas	H3K4me1	0.029614075	0.121830886	0.030627498	4.113952083	1.034221006	0.002996714	4.80E-09	7.74E-08	0.061996319	0.475282882	0.895367463
Anthropometric	Height	Skeletal muscle	Psoas_muscle	H3K4me1	0.0038449	0.048801311	0.014575373	12.69247942	3.790833008	0.0022512	5.62E-07	2.42E-07	2.327232105	0.009976458	0.17634977
Anthropometric	Height	Cardiovascular	Right_atrium	H3K4me1	0.009054073	0.0806941	0.018767613	8.91246412	2.072836501	0.000161894	3.37E-07	1.36E-07	2.478038591	0.006605343	0.143543409
Anthropometric	Height	Cardiovascular	Right_ventricle	H3K4me1	0.000796152	0.011067964	0.007923341	13.90182744	9.95204852	0.197288606	5.64E-07	6.42E-07	0.879685324	0.189514901	0.658770836
Anthropometric	Height	Gastrointestinal	Sigmoid_colon	H3K4me1	0.002924255	0.023652393	0.015502167	8.088348606	5.301236394	0.179747959	2.24E-07	3.49E-07	0.64137505	0.26063952	0.73738873
Anthropometric	Height	Gastrointestinal	Small_intestine	H3K4me1	0.001016368	0.005785553	0.007353015	5.692381618	7.234601347	0.516718674	1.06E-07	4.62E-07	0.228627394	0.409579266	0.859269476
Anthropometric	Height	Immune or hematopoietic	Spleen	H3K4me1	0.044969699	0.220625485	0.027161695	4.906092107	0.603999923	5.06E-10	1.15E-07	4.62E-08	2.488501045	0.006414143	0.142278738
Anthropometric	Height	Immune or hematopoietic	Thymus	H3K4me1	0.008522891	0.03741692	0.01258224	4.390167769	1.476287867	0.022804364	3.29E-08	1.00E-07	0.329108878	0.371036697	0.831701275
Anthropometric	Height	Immune or hematopoietic	Fetal_thymus	H3K4me1	0.035451752	0.130486313	0.021006336	3.680673205	0.592533092	9.05E-06	5.80E-09	4.34E-08	0.133524488	0.446889299	0.879180513
Anthropometric	Height	Connective or bone	Breast_fibroblast_primary	H3K4me1	0.010111465	0.084509285	0.017974507	8.357768782	1.777636331	6.03E-05	2.82E-07	1.17E-07	2.416575711	0.007833634	0.156035148
Anthropometric	Height	Other	Breast_luminal_epithelial	H3K4me1	0.002076246	-0.003817255	0.009713086	-1.838537053	4.678196402	0.545003895	-3.93E-07	3.08E-07	-1.276825153	0.899168008	0.999998953
Anthropometric	Height	Other	Breast_myoepithelial	H3K4me1	0.046800688	0.224474966	0.031752593	4.796403102	0.678464233	7.58E-08	1.10E-07	5.21E-08	2.114789824	0.017223932	0.229887249
Anthropometric	Height	Other	Breast_vHMEC	H3K4me1	0.033711158	0.104699851	0.028010954	3.105792209	0.830910464	0.010765689	-3.68E-08	5.89E-08	-0.623973404	0.733677474	0.992634394
Anthropometric	Height	Immune or hematopoietic	CD8_naive_primary_(UCSF-UBC)	H3K4me1	0.024360148	0.063290919	0.015026448	2.598133559	0.616845487	0.009424326	-8.18E-08	4.42E-08	-1.851660309	0.967962692	0.999998953
Anthropometric	Height	Adrenal or pancreas	Pancreatic_islets	H3K4me1	0.006130706	0.024697918	0.012601156	4.028560114	2.05541678	0.141650181	3.57E-09	1.34E-07	0.026646754	0.489370741	0.902456809
Anthropometric	Height	Connective or bone	Penis_foreskin_fibroblast_primary	H3K4me1	0.075677573	0.403872102	0.032104431	5.336747582	0.424226485	2.38E-20	1.62E-07	3.75E-08	4.320684428	7.78E-06	0.002370282
Anthropometric	Height	Other	Penis_foreskin_keratinocyte_primary	H3K4me1	0.059687229	0.23001386	0.032749387	3.853652816	0.548683315	3.60E-07	8.00E-09	4.16E-08	0.192413196	0.423709278	0.866552311
Anthropometric	Height	Other	Penis_foreskin_melanocyte_primary	H3K4me1	0.063737782	0.28400558	0.030962906	4.455843436	0.48578575	2.93E-11	8.21E-08	3.52E-08	2.328358565	0.009946536	0.17634977
Anthropometric	Height	Immune or hematopoietic	Peripheralblood_mononuclear_primary	H3K4me1	0.008786972	0.042226742	0.017249474	4.805607729	1.963073645	0.054109461	-9.26E-08	1.45E-07	-0.639378209	0.738711539	0.993882184
Anthropometric	Height	Other	Placenta_amnion	H3K4me1	0.003977562	0.023432396	0.014944234	5.891145123	3.757133963	0.194406175	9.02E-08	2.53E-07	0.356181302	0.360852397	0.825000723
Anthropometric	Height	Other	Placenta_chorion	H3K4me1	0.007346689	0.029127239	0.015541569	3.96467574	2.115452241	0.164110276	9.70E-09	1.40E-07	0.069311619	0.472370789	0.893606536
Anthropometric	Height	Immune or hematopoietic	CD14_primary	H3K4me1	0.039606019	0.088556506	0.019724359	2.235935539	0.498014177	0.011984251	-8.28E-08	3.91E-08	-2.120182159	0.983004657	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD19_primary_(UW)	H3K4me1	0.040511036	0.100142909	0.019397098	2.471990817	0.478810222	0.002322573	-9.50E-08	3.97E-08	-2.392236581	0.991626978	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD3_primary_(UW)	H3K4me1	0.035797526	0.118021406	0.019357267	3.296915112	0.540743151	2.90E-05	-4.48E-08	4.10E-08	-1.093546747	0.862923092	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD56_primary	H3K4me1	0.034260277	0.111714602	0.019368923	3.260761809	0.565346356	8.59E-05	-4.27E-08	4.36E-08	-0.978482897	0.836082227	0.999998953
Anthropometric	Height	Adrenal or pancreas	Fetal_adrenal	H3K4me1	0.042487652	0.238217191	0.036221853	5.606739381	0.852526594	1.48E-07	1.51E-07	6.83E-08	2.212123464	0.013479068	0.202548077
Anthropometric	Height	Gastrointestinal	Fetal_large_intestine	H3K4me1	0.02986093	0.110098237	0.025013408	3.687033075	0.837663391	0.001497457	1.13E-08	6.09E-08	0.186005707	0.426220143	0.868742521
Anthropometric	Height	Gastrointestinal	Fetal_small_intestine	H3K4me1	0.033086384	0.128406032	0.026396392	3.880932823	0.797802282	0.000379701	1.83E-08	5.93E-08	0.307894005	0.379081494	0.836872424
Anthropometric	Height	Skeletal muscle	Fetal_leg_muscle	H3K4me1	0.040120863	0.256468996	0.028970021	6.392409745	0.722068734	4.22E-12	2.25E-07	6.01E-08	3.749323959	8.87E-05	0.011454109
Anthropometric	Height	Skeletal muscle	Fetal_trunk_muscle	H3K4me1	0.040558809	0.227127494	0.027756401	5.599954756	0.684349526	2.00E-10	1.48E-07	5.88E-08	2.510620291	0.006025963	0.138843321
Anthropometric	Height	Other	Fetal_placenta	H3K4me1	0.024725458	0.135953465	0.022101001	5.498521583	0.893856071	1.26E-06	1.07E-07	6.95E-08	1.539519183	0.061838799	0.415655232
Anthropometric	Height	Gastrointestinal	Fetal_stomach	H3K4me1	0.033847905	0.234515805	0.025806107	6.928517652	0.762413715	4.02E-13	2.57E-07	6.02E-08	4.273119689	9.64E-06	0.002657874
Anthropometric	Height	Other	Adipose_nuclei	H3K4me3	0.029425648	0.166490908	0.024158389	5.658020042	0.820997695	8.08E-08	1.21E-07	6.09E-08	1.979403667	0.023885288	0.268161662
Anthropometric	Height	Kidney	Kidney	H3K4me3	0.017133157	0.133512665	0.025258262	7.792647975	1.474232741	7.75E-06	2.11E-07	1.14E-07	1.852512487	0.031976133	0.307813513
Anthropometric	Height	Liver	Liver_(BI)	H3K4me3	0.016375544	0.078307734	0.017323747	4.781992986	1.05790366	0.000476339	-3.12E-08	5.89E-08	-0.528992326	0.701594613	0.984676549
Anthropometric	Height	CNS	Angular_gyrus	H3K4me3	0.010418702	0.113044239	0.027764394	10.85012738	2.664861188	0.000295332	3.91E-07	1.87E-07	2.086170382	0.018481596	0.236516111
Anthropometric	Height	CNS	Anterior_caudate	H3K4me3	0.018779982	0.137531012	0.029255374	7.32327703	1.557795624	7.49E-05	1.47E-07	1.20E-07	1.227559183	0.109806246	0.531653387
Anthropometric	Height	CNS	Cingulate_gyrus	H3K4me3	0.017234741	0.13888084	0.03019088	8.058191278	1.751745517	8.39E-05	2.07E-07	1.35E-07	1.533905089	0.062526502	0.418267478
Anthropometric	Height	CNS	Hippocampus_middle	H3K4me3	0.018440246	0.149126858	0.0294917	8.087032022	1.599311675	1.74E-05	2.30E-07	1.25E-07	1.833581016	0.033358106	0.312973763
Anthropometric	Height	CNS	Inferior_temporal_lobe	H3K4me3	0.017055904	0.132294993	0.029702272	7.75655108	1.741465665	0.000153264	1.75E-07	1.29E-07	1.35638295	0.087488678	0.482283877
Anthropometric	Height	CNS	Mid_frontal_lobe	H3K4me3	0.016203455	0.150504359	0.0294265	9.288411326	1.816063263	9.61E-06	3.30E-07	1.41E-07	2.335810802	0.009750552	0.173770119
Anthropometric	Height	CNS	Substantia_nigra	H3K4me3	0.014122592	0.127585071	0.029529821	9.03411147	2.090963238	0.000172728	2.82E-07	1.56E-07	1.800715824	0.035873841	0.322206334
Anthropometric	Height	Immune or hematopoietic	CD15_primary	H3K4me3	0.013758525	0.059493861	0.017877118	4.324145202	1.29934843	0.010886381	-1.09E-07	8.91E-08	-1.224347936	0.8895895	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD19_primary_(BI)	H3K4me3	0.012117739	0.057609307	0.0207228	4.754130134	1.710121056	0.029654017	-1.35E-07	1.31E-07	-1.031019771	0.848734226	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD34_primary	H3K4me3	0.010533605	0.118258677	0.027161447	11.22680044	2.57855198	0.000102231	4.68E-07	2.14E-07	2.18406349	0.014478792	0.210488137
Anthropometric	Height	Immune or hematopoietic	CD3_primary_(BI)	H3K4me3	0.014184927	0.07465387	0.018776356	5.262901107	1.323683613	0.001650045	-4.67E-08	9.22E-08	-0.506485643	0.693742117	0.982774391
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25+_CD127-_Treg_primary	H3K4me3	0.013863661	0.083242003	0.018997975	6.004330657	1.370343296	0.00035694	-5.06E-09	9.90E-08	-0.051115042	0.520383075	0.918764708
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25-_CD45RA+_naive_primary	H3K4me3	0.012800586	0.081150379	0.018635236	6.339583139	1.455811142	0.000359283	2.06E-08	1.04E-07	0.198513766	0.421321558	0.86445154
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25-_CD45R0+_memory_primary	H3K4me3	0.008699241	0.054759403	0.017004877	6.294733327	1.954754102	0.00738992	-5.59E-09	1.43E-07	-0.039144198	0.515612289	0.916426003
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25-_IL17+_PMA_Ionomycin_stim_Th17_primary	H3K4me3	0.012290537	0.072166057	0.018390755	5.871676336	1.49633448	0.001324036	-3.58E-08	1.05E-07	-0.340948845	0.633428954	0.964577611
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25-_IL17-_PMA_Ionomycin_stim_MACS_Th_sprimary	H3K4me3	0.017170097	0.074517009	0.018232104	4.339929455	1.061852101	0.001921719	-1.21E-07	6.97E-08	-1.730700151	0.958247371	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25int_CD127+_Tmem_primary	H3K4me3	0.010611035	0.071028775	0.019396243	6.693859069	1.827931194	0.002287902	2.07E-08	1.36E-07	0.151751222	0.439691578	0.875270546
Anthropometric	Height	Immune or hematopoietic	CD4+_CD25-_Th_primary	H3K4me3	0.012386971	0.084322231	0.018752818	6.807332798	1.513914809	0.000192987	5.31E-08	1.14E-07	0.466674956	0.320366225	0.792307492
Anthropometric	Height	Immune or hematopoietic	CD4_memory_primary	H3K4me3	0.011670203	0.063228052	0.018077791	5.417905026	1.549055389	0.005064696	-6.51E-08	1.12E-07	-0.583640497	0.720268896	0.988703378
Anthropometric	Height	Immune or hematopoietic	CD4_naive_primary	H3K4me3	0.012408637	0.059370927	0.017371532	4.784645326	1.399954901	0.007727777	-1.17E-07	9.84E-08	-1.193159172	0.883596479	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD8_memory_primary	H3K4me3	0.010907439	0.053058982	0.017486726	4.864476646	1.603192611	0.017405442	-1.28E-07	1.09E-07	-1.16737736	0.878470995	0.999998953
Anthropometric	Height	Immune or hematopoietic	CD8_naive_primary_(BI)	H3K4me3	0.011157491	0.057517381	0.017316737	5.155046325	1.552027887	0.008667111	-1.12E-07	1.09E-07	-1.026826219	0.847748849	0.999998953
Anthropometric	Height	Gastrointestinal	Colonic_mucosa	H3K4me3	0.011774628	0.142672158	0.026072743	12.11691414	2.214315608	1.31E-06	5.99E-07	1.78E-07	3.358580175	0.00039172	0.028094787
Anthropometric	Height	Gastrointestinal	Colon_smooth_muscle	H3K4me3	0.014303027	0.145947155	0.025600122	10.20393475	1.789839425	7.10E-07	4.18E-07	1.35E-07	3.099779133	0.000968325	0.04979651
Anthropometric	Height	Gastrointestinal	Duodenum_Mucosa	H3K4me3	0.020230744	0.121634331	0.026480801	6.012350937	1.308938571	0.000185261	4.61E-08	1.05E-07	0.436985146	0.33106106	0.800663977
Anthropometric	Height	Gastrointestinal	Duodenum_smooth_muscle	H3K4me3	0.02039999	0.128787763	0.022111717	6.313128616	1.083908233	2.40E-06	1.08E-07	7.82E-08	1.383238121	0.083295932	0.475305201
Anthropometric	Height	CNS	Fetal_brain	H3K4me3	0.004338432	0.038869265	0.012995681	8.95928847	2.995478704	0.008488584	2.08E-07	1.92E-07	1.084822134	0.13900022	0.582788932
Anthropometric	Height	Cardiovascular	Fetal_heart	H3K4me3	0.006108862	0.054598114	0.016308863	8.93752624	2.669705612	0.003118585	2.42E-07	1.68E-07	1.439114363	0.075059062	0.453395028
Anthropometric	Height	Cardiovascular	Fetal_lung	H3K4me3	0.010994993	0.136699842	0.024138512	12.43291812	2.195409597	6.59E-07	5.85E-07	1.61E-07	3.635081069	0.000138947	0.014785732
Anthropometric	Height	Immune or hematopoietic	Mobilized_CD34_primary	H3K4me3	0.02241248	0.171433475	0.029079716	7.649018477	1.297478708	8.06E-07	2.44E-07	1.17E-07	2.087763485	0.018409587	0.23590296
Anthropometric	Height	Adrenal or pancreas	Pancreatic_islets	H3K4me3	0.009867806	0.077689037	0.022103426	7.872979336	2.239953308	0.002348531	1.99E-07	1.45E-07	1.370573497	0.085253975	0.479032846
Anthropometric	Height	Gastrointestinal	Rectal_mucosa	H3K4me3	0.018055401	0.130954557	0.026794027	7.252929983	1.483989614	3.89E-05	1.50E-07	1.20E-07	1.255533138	0.104642643	0.521880527
Anthropometric	Height	Gastrointestinal	Rectal_smooth_muscle	H3K4me3	0.012709836	0.145431436	0.028843446	11.44243245	2.269379922	7.43E-06	5.36E-07	1.95E-07	2.747984702	0.00299814	0.093842487
Anthropometric	Height	Skeletal muscle	Skeletal_muscle	H3K4me3	0.02182429	0.17637338	0.027407421	8.081517276	1.255821858	6.25E-08	2.57E-07	9.76E-08	2.632605898	0.00423663	0.114037384
Anthropometric	Height	Gastrointestinal	Stomach_mucosa	H3K4me3	0.005795942	0.064828735	0.021777256	11.18519352	3.757328048	0.007040989	3.52E-07	2.65E-07	1.330372118	0.091697848	0.49197377
Anthropometric	Height	Gastrointestinal	Stomach_smooth_muscle	H3K4me3	0.019613606	0.174496131	0.027105187	8.896687793	1.381958343	3.88E-08	3.19E-07	1.03E-07	3.094066861	0.000987165	0.050204388
Anthropometric	Height	Immune or hematopoietic	Treg_primary	H3K4me3	0.0174562	0.062623416	0.01618117	3.587459805	0.926958321	0.005478132	-9.16E-08	6.49E-08	-1.411708789	0.920982138	0.999998953
Anthropometric	Height	Liver	Liver_(UCSD)	H3K4me3	0.011471121	0.12006831	0.022555013	10.46700774	1.966243178	3.13E-06	3.81E-07	1.36E-07	2.793242958	0.002609124	0.088232557
Anthropometric	Height	Cardiovascular	Aorta	H3K4me3	0.008293262	0.139417796	0.021158728	16.81097139	2.551315416	2.29E-09	8.94E-07	1.75E-07	5.115885784	1.56E-07	0.00020381
Anthropometric	Height	Gastrointestinal	Esophagus	H3K4me3	0.008425214	0.128152123	0.026311923	15.21054757	3.122997436	7.91E-06	7.92E-07	2.56E-07	3.097465823	0.000975915	0.04979651
Anthropometric	Height	Gastrointestinal	Gastric	H3K4me3	0.005917949	0.082506779	0.019622949	13.94178621	3.315836101	0.000136349	5.84E-07	2.45E-07	2.382169692	0.008605482	0.163196658
Anthropometric	Height	Cardiovascular	Left_Ventricle	H3K4me3	0.008554325	0.109128571	0.023212397	12.7571227	2.713527717	2.51E-05	5.53E-07	2.01E-07	2.758013225	0.002907692	0.092423075
Anthropometric	Height	Cardiovascular	Lung	H3K4me3	0.005563827	0.108103661	0.023650522	19.42972927	4.25076477	2.41E-05	1.06E-06	3.22E-07	3.296946799	0.00048871	0.032770353
Anthropometric	Height	Other	Ovary	H3K4me3	0.009310873	0.149665367	0.026037459	16.07425682	2.796457279	2.24E-07	8.50E-07	2.22E-07	3.832791433	6.33E-05	0.009120347
Anthropometric	Height	Adrenal or pancreas	Pancreas	H3K4me3	0.008135382	0.096999189	0.021476252	11.92312707	2.639857928	5.40E-05	4.62E-07	1.75E-07	2.639311088	0.004153735	0.113115634
Anthropometric	Height	Skeletal muscle	Psoas_muscle	H3K4me3	0.009636935	0.113867455	0.021928347	11.81573358	2.275448317	3.40E-06	4.82E-07	1.72E-07	2.804418461	0.002520372	0.086837906
Anthropometric	Height	Cardiovascular	Right_atrium	H3K4me3	0.010799107	0.137697151	0.026217406	12.7507906	2.427738348	2.72E-06	5.94E-07	1.83E-07	3.256302333	0.000564367	0.035994511
Anthropometric	Height	Cardiovascular	Right_ventricle	H3K4me3	0.010505367	0.133270646	0.024449504	12.68595791	2.327334535	1.05E-06	5.84E-07	1.77E-07	3.295177863	0.000491797	0.032864797
Anthropometric	Height	Gastrointestinal	Sigmoid_colon	H3K4me3	0.005544115	0.095519764	0.022310823	17.22903853	4.024235502	8.30E-05	8.80E-07	2.86E-07	3.075319125	0.001051387	0.052515715
